Date,Cash,Allocated PNL,Allocated % PNL,Allocated,Total PNL,Total % PNL,Total
2023-10-31,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-01,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-02,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-03,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-06,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-07,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-08,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-09,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-10,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-13,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-14,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-15,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-16,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-17,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-20,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-21,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-22,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-24,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-27,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-28,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-29,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-30,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-01,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-04,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-05,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-06,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-07,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-08,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-11,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-12,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-13,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-14,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-15,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-18,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-19,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-20,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-21,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-22,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-26,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-27,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-28,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-29,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
